,route_id,from_stop_id,to_stop_id,min_transfer_time,from_route_id,to_route_id
134,12003_109,60120901552,60120901552,60.0,10226_109,12003_109
135,12003_109,60120901552,60120901552,60.0,10227_109,12003_109
136,12003_109,60120901552,60120901552,60.0,12003_109,12003_109
137,12003_109,60120003654,60120901551,180.0,10148_109,12003_109
138,12003_109,60120003654,60120901551,180.0,10149_109,12003_109
139,12003_109,60120003654,60120901551,180.0,10157_109,12003_109
140,12003_109,60120003654,60120901551,180.0,10158_109,12003_109
141,12003_109,60120003654,60120901551,180.0,10162_109,12003_109
142,12003_109,60120003654,60120901551,180.0,10163_109,12003_109
143,12003_109,60120003654,60120901551,180.0,10165_109,12003_109
144,12003_109,60120003654,60120901551,60.0,10170_109,12003_109
145,12003_109,60120003654,60120901552,180.0,10148_109,12003_109
146,12003_109,60120003654,60120901552,180.0,10149_109,12003_109
147,12003_109,60120003654,60120901552,180.0,10157_109,12003_109
148,12003_109,60120003654,60120901552,180.0,10158_109,12003_109
149,12003_109,60120003654,60120901552,180.0,10162_109,12003_109
150,12003_109,60120003654,60120901552,180.0,10163_109,12003_109
151,12003_109,60120003654,60120901552,180.0,10165_109,12003_109
152,12003_109,60120003654,60120901552,60.0,10170_109,12003_109
153,12003_109,60120003652,60120901551,180.0,10148_109,12003_109
154,12003_109,60120003652,60120901551,180.0,10149_109,12003_109
155,12003_109,60120003652,60120901551,180.0,10150_109,12003_109
156,12003_109,60120003652,60120901551,180.0,10157_109,12003_109
157,12003_109,60120003652,60120901551,180.0,10158_109,12003_109
158,12003_109,60120003652,60120901551,180.0,10159_109,12003_109
159,12003_109,60120003652,60120901551,180.0,10162_109,12003_109
160,12003_109,60120003652,60120901551,180.0,10163_109,12003_109
161,12003_109,60120003652,60120901551,180.0,10165_109,12003_109
162,12003_109,60120003652,60120901551,180.0,10166_109,12003_109
163,12003_109,60120003652,60120901552,180.0,10148_109,12003_109
164,12003_109,60120003652,60120901552,180.0,10149_109,12003_109
165,12003_109,60120003652,60120901552,180.0,10150_109,12003_109
166,12003_109,60120003652,60120901552,180.0,10157_109,12003_109
167,12003_109,60120003652,60120901552,180.0,10158_109,12003_109
168,12003_109,60120003652,60120901552,180.0,10159_109,12003_109
169,12003_109,60120003652,60120901552,180.0,10162_109,12003_109
170,12003_109,60120003652,60120901552,180.0,10163_109,12003_109
171,12003_109,60120003652,60120901552,180.0,10165_109,12003_109
172,12003_109,60120003652,60120901552,180.0,10166_109,12003_109
173,12003_109,60120003653,60120901551,180.0,10148_109,12003_109
174,12003_109,60120003653,60120901551,180.0,10149_109,12003_109
175,12003_109,60120003653,60120901551,180.0,10157_109,12003_109
176,12003_109,60120003653,60120901551,180.0,10158_109,12003_109
177,12003_109,60120003653,60120901551,180.0,10162_109,12003_109
178,12003_109,60120003653,60120901551,180.0,10163_109,12003_109
179,12003_109,60120003653,60120901552,180.0,10148_109,12003_109
180,12003_109,60120003653,60120901552,180.0,10149_109,12003_109
181,12003_109,60120003653,60120901552,180.0,10157_109,12003_109
182,12003_109,60120003653,60120901552,180.0,10158_109,12003_109
183,12003_109,60120003653,60120901552,180.0,10162_109,12003_109
184,12003_109,60120003653,60120901552,180.0,10163_109,12003_109
185,12003_109,60120003651,60120901551,180.0,10157_109,12003_109
186,12003_109,60120003651,60120901551,180.0,10158_109,12003_109
187,12003_109,60120003651,60120901551,180.0,10159_109,12003_109
188,12003_109,60120003651,60120901551,180.0,10162_109,12003_109
189,12003_109,60120003651,60120901551,180.0,10163_109,12003_109
190,12003_109,60120003651,60120901551,180.0,10165_109,12003_109
191,12003_109,60120003651,60120901551,180.0,10166_109,12003_109
192,12003_109,60120003651,60120901551,60.0,10170_109,12003_109
193,12003_109,60120003651,60120901552,180.0,10157_109,12003_109
194,12003_109,60120003651,60120901552,180.0,10158_109,12003_109
195,12003_109,60120003651,60120901552,180.0,10159_109,12003_109
196,12003_109,60120003651,60120901552,180.0,10162_109,12003_109
197,12003_109,60120003651,60120901552,180.0,10163_109,12003_109
198,12003_109,60120003651,60120901552,180.0,10165_109,12003_109
199,12003_109,60120003651,60120901552,180.0,10166_109,12003_109
200,12003_109,60120003651,60120901552,60.0,10170_109,12003_109
201,11537_109,60078201461,60078201462,60.0,10223_109,11537_109
202,11537_109,60078201461,60078201462,60.0,10224_109,11537_109
203,11537_109,60191001003,60191001004,360.0,10167_109,11537_109
204,11537_109,60191001003,60191001004,360.0,10170_109,11537_109
205,11537_109,60191001003,60191001004,360.0,10271_109,11537_109
206,11537_109,60191001003,60191001004,360.0,12003_109,11537_109
207,11537_109,60191001003,60191001005,60.0,10167_109,11537_109
208,11537_109,60191001003,60191001005,60.0,10170_109,11537_109
209,11537_109,60191001003,60191001005,60.0,10271_109,11537_109
210,11537_109,60191001003,60191001005,60.0,12003_109,11537_109
211,11537_109,60191001004,60191001004,60.0,10154_109,11537_109
212,11537_109,60191001004,60191001004,60.0,10155_109,11537_109
213,11537_109,60191001004,60191001004,60.0,10167_109,11537_109
214,11537_109,60191001004,60191001004,60.0,10170_109,11537_109
215,11537_109,60191001004,60191001004,60.0,10229_109,11537_109
216,11537_109,60191001004,60191001004,60.0,10271_109,11537_109
217,11537_109,60191001004,60191001004,60.0,11536_109,11537_109
218,11537_109,60191001004,60191001004,60.0,11537_109,11537_109
219,11537_109,60191001004,60191001004,60.0,12003_109,11537_109
220,11537_109,60191001004,60191001005,360.0,10154_109,11537_109
221,11537_109,60191001004,60191001005,360.0,10155_109,11537_109
222,11537_109,60191001004,60191001005,360.0,10167_109,11537_109
223,11537_109,60191001004,60191001005,360.0,10170_109,11537_109
224,11537_109,60191001004,60191001005,360.0,10229_109,11537_109
225,11537_109,60191001004,60191001005,360.0,10271_109,11537_109
226,11537_109,60191001004,60191001005,360.0,11536_109,11537_109
227,11537_109,60191001004,60191001005,360.0,11537_109,11537_109
228,11537_109,60191001004,60191001005,360.0,12003_109,11537_109
