,stop_id,stop_name,stop_lat,stop_lon
21329,60130003653,S Wollankstr. ,52.564974,13.39315
21732,60085201683,S Schönholz ,52.571901,13.380242
22011,60084101101,S Wilhelmsruh ,52.581588,13.363284
22290,60096101111,S+U Wittenau ,52.596392,13.335481
22650,60094101122,S Waidmannslust ,52.606814,13.320549
22964,60096101112,S+U Wittenau ,52.596392,13.335481
23278,60084101102,S Wilhelmsruh ,52.581588,13.363284
23745,60085201684,S Schönholz ,52.571901,13.380242
24212,60130003654,S Wollankstr. ,52.564974,13.39315
24679,60110011611,S Bornholmer Str. ,52.554763,13.397841
26051,60007102721,S+U Gesundbrunnen Bhf ,52.548637,13.388372
27413,60008101711,S Humboldthain ,52.544738,13.37873
28010,60007104412,S Nordbahnhof ,52.531672,13.388798
28263,60064201631,S Lichterfelde Süd ,52.409956,13.308662
28354,60100020452,S+U Potsdamer Platz Bhf ,52.50934,13.376454
29793,60012101472,S Anhalter Bahnhof ,52.504538,13.382077
30923,60058103481,S+U Yorckstr. S2 S25 S26 U7 ,52.492323,13.372226
32073,60058101501,S Südkreuz Bhf ,52.475468,13.365579
32331,60058102523,S Priesterweg ,52.459239,13.356028
32577,60063452531,S Südende ,52.448899,13.354077
32824,60064301621,S Lichterfelde Ost Bhf ,52.429098,13.328078
33071,60064256621,S Osdorfer Str. ,52.418373,13.313865
34455,60100007431,S Oranienburger Str. ,52.525161,13.393068
35839,60100000431,S+U Friedrichstr. Bhf ,52.52027,13.387153
37223,60100025441,S+U Brandenburger Tor ,52.516511,13.381937
38579,60100020451,S+U Potsdamer Platz Bhf ,52.50934,13.376454
39127,60180001834,S Köpenick ,52.458692,13.579543
39674,60180002824,S Wuhlheide ,52.469058,13.553527
40245,60162001814,S Karlshorst ,52.481038,13.525981
40822,60160002804,S Betriebsbahnhof Rummelsburg ,52.493957,13.497509
41399,60160001704,S Rummelsburg ,52.501213,13.478699
42721,60120003654,S Ostkreuz Bhf ,52.502851,13.469093
44137,60120004624,S+U Warschauer Str. ,52.505765,13.449159
44386,60120005010,S Ostbahnhof ,52.510001,13.435747
44772,60170004042,S Ahrensfelde Bhf ,52.571564,13.566118
45273,60170003002,S Mehrower Allee ,52.557816,13.554392
45774,60170002002,S Raoul-Wallenberg-Str. ,52.550749,13.548392
46281,60170001332,S Marzahn ,52.543272,13.541524
46790,60170005002,S Poelchaustr. ,52.534751,13.536008
47601,60171003020,S Springpfuhl ,52.525806,13.536904
48710,60171002002,S Friedrichsfelde Ost ,52.513747,13.520043
49842,60160004002,S+U Lichtenberg Bhf ,52.510754,13.498228
51318,60160003682,S Nöldnerplatz ,52.503444,13.484297
52049,60120003652,S Ostkreuz Bhf ,52.502851,13.469093
52685,60120004622,S+U Warschauer Str. ,52.505765,13.449159
53519,60120005009,S Ostbahnhof ,52.510001,13.435747
54267,60120004621,S+U Warschauer Str. ,52.505765,13.449159
54646,60120003651,S Ostkreuz Bhf ,52.502851,13.469093
55707,60160003681,S Nöldnerplatz ,52.503444,13.484297
56784,60160004001,S+U Lichtenberg Bhf ,52.510754,13.498228
57853,60171002001,S Friedrichsfelde Ost ,52.513747,13.520043
58515,60171003021,S Springpfuhl ,52.525806,13.536904
59023,60170005001,S Poelchaustr. ,52.534751,13.536008
59533,60170001331,S Marzahn ,52.543272,13.541524
60037,60170002001,S Raoul-Wallenberg-Str. ,52.550749,13.548392
60541,60170003001,S Mehrower Allee ,52.557816,13.554392
61039,60007102099,S+U Gesundbrunnen Bhf ,52.548637,13.388372
61537,60008101099,S Humboldthain ,52.544738,13.37873
62035,60009104099,S+U Wedding ,52.542732,13.36606
62533,60001201099,S+U Westhafen ,52.536183,13.343837
63031,60000003104,U Turmstr. ,52.525938,13.341417
63529,60020202099,S Beusselstr. ,52.534314,13.328703
63718,60020201099,S+U Jungfernheide Bhf ,52.530431,13.300135
63907,60026207099,S Westend ,52.51861,13.284237
64112,60186001813,S Grünau ,52.412714,13.574018
64929,60193002004,S Adlershof ,52.435102,13.540553
65746,60193001004,S Betriebsbahnhof Schöneweide ,52.446695,13.524028
66736,60192001005,S Schöneweide Bhf ,52.454611,13.510149
67723,60191001004,S Baumschulenweg ,52.467581,13.489505
68278,60191002004,S Plänterwald ,52.478722,13.474029
68850,60190001574,S Treptower Park ,52.493022,13.460887
70233,60120901552,S Ostkreuz Bhf ,52.502851,13.469093
71616,60120001542,S+U Frankfurter Allee ,52.513613,13.4753
72954,60110012542,S Storkower Str. ,52.524195,13.464884
74121,60110004532,S Landsberger Allee ,52.528772,13.455944
75551,60110003512,S Greifswalder Str. ,52.540724,13.438356
76976,60110002782,S Prenzlauer Allee ,52.544802,13.427419
78359,60110001772,S+U Schönhauser Allee ,52.549336,13.415138
79696,60110011613,S Bornholmer Str. ,52.554763,13.397841
81053,60130002642,S+U Pankow ,52.567281,13.412279
82074,60190001572,S Treptower Park ,52.493022,13.460887
82411,60186001814,S Grünau ,52.412714,13.574018
83657,60110011612,S Bornholmer Str. ,52.554763,13.397841
84858,60110001771,S+U Schönhauser Allee ,52.549336,13.415138
85993,60110002781,S Prenzlauer Allee ,52.544802,13.427419
87173,60110003511,S Greifswalder Str. ,52.540724,13.438356
88344,60110004531,S Landsberger Allee ,52.528772,13.455944
89515,60110012541,S Storkower Str. ,52.524195,13.464884
90686,60120001541,S+U Frankfurter Allee ,52.513613,13.4753
91866,60120901551,S Ostkreuz Bhf ,52.502851,13.469093
92867,60190001571,S Treptower Park ,52.493022,13.460887
93239,60191002003,S Plänterwald ,52.478722,13.474029
93611,60191001003,S Baumschulenweg ,52.467581,13.489505
94273,60192001003,S Schöneweide Bhf ,52.454611,13.510149
94933,60193001003,S Betriebsbahnhof Schöneweide ,52.446695,13.524028
95593,60193002003,S Adlershof ,52.435102,13.540553
95747,60186001812,S Grünau ,52.412714,13.574018
96046,60186001811,S Grünau ,52.412714,13.574018
96221,60192001004,S Schöneweide Bhf ,52.454611,13.510149
96663,60077155441,S Köllnische Heide ,52.469168,13.467529
98023,60078201461,S+U Neukölln ,52.469282,13.443692
99373,60079221471,S+U Hermannstr. ,52.467181,13.431704
100618,60068201511,S+U Tempelhof ,52.470694,13.385754
102450,60058100531,S Südkreuz Bhf ,52.475468,13.365579
104432,60058100532,S Südkreuz Bhf ,52.475468,13.365579
105784,60068201512,S+U Tempelhof ,52.470694,13.385754
107192,60079221472,S+U Hermannstr. ,52.467181,13.431704
108583,60078201462,S+U Neukölln ,52.469282,13.443692
108956,60077155442,S Köllnische Heide ,52.469168,13.467529
109339,60191001005,S Baumschulenweg ,52.467581,13.489505
109953,60151001099,S Wartenberg ,52.573266,13.504238
110260,60152001099,S Hohenschönhausen Bhf ,52.566549,13.513698
110874,60000917053,"Berlin, Klettwitzer Str.",52.555996,13.530587
112409,60170002099,S Raoul-Wallenberg-Str. ,52.550749,13.548392
114167,60170001099,S Marzahn ,52.543272,13.541524
114832,60170005099,S Poelchaustr. ,52.534751,13.536008
