station_name,latitude,longitude,district_name,station_link
Jungfernheide,52.530833333333334,13.300833333333333,Charlottenburg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Jungfernheide
"52° 31′ 51″ N, 13° 18′ 3″ O",Charlottenburg,https://de.wikipedia.orghttps://tools.wmflabs.org/geohack/geohack.php?pagename=Liste_der_Berliner_U-Bahnh%C3%B6fe&language=de&params=52.530833_N_13.300833_E_region:DE-BE_type:landmark&title=Jungfernheide+%28unten%29,,
Kaiserdamm,52.51,13.282222222222222,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Kaiserdamm
Kaiserin-Augusta-Straße,52.46,13.384722222222223,Tempelhof,https://de.wikipedia.org/wiki/U-Bahnhof_Kaiserin-Augusta-Stra%C3%9Fe
Karl-Bonhoeffer-Nervenklinik,52.57833333333333,13.331388888888888,Wittenau,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Karl-Bonhoeffer-Nervenklinik
Karl-Marx-Straße,52.47611111111111,13.439166666666667,Neukölln,https://de.wikipedia.org/wiki/U-Bahnhof_Karl-Marx-Stra%C3%9Fe
Kaulsdorf-Nord,52.52111111111111,13.588888888888889,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Kaulsdorf-Nord
Kienberg,52.52861111111111,13.590555555555556,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Kienberg_(G%C3%A4rten_der_Welt)
Kleistpark,52.49055555555555,13.360277777777778,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Kleistpark
Klosterstraße,52.51611111111111,13.412222222222223,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Klosterstra%C3%9Fe
Kochstraße,52.505833333333335,13.390555555555556,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Kochstra%C3%9Fe
Konstanzer Straße,52.493611111111115,13.31,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Konstanzer_Stra%C3%9Fe
Kottbusser Tor,52.49916666666667,13.418055555555556,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Kottbusser_Tor
Krumme Lanke,52.443333333333335,13.241388888888888,Zehlendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Krumme_Lanke
Kurfürstendamm,52.50416666666667,13.333055555555555,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Kurf%C3%BCrstendamm
Kurfürstenstraße,52.5,13.361944444444445,Tiergarten,https://de.wikipedia.org/wiki/U-Bahnhof_Kurf%C3%BCrstenstra%C3%9Fe
Kurt-Schumacher-Platz,52.56333333333333,13.3275,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Kurt-Schumacher-Platz
Leinestraße,52.47361111111111,13.428055555555556,Neukölln,https://de.wikipedia.org/wiki/U-Bahnhof_Leinestra%C3%9Fe
Leopoldplatz,52.54638888888889,13.359166666666667,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Leopoldplatz
Lichtenberg,52.510555555555555,13.49638888888889,Lichtenberg,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Lichtenberg
Lindauer Allee,52.57527777777778,13.339166666666667,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Lindauer_Allee
Lipschitzallee,52.42472222222222,13.462777777777777,Gropiusstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Lipschitzallee
Louis-Lewin-Straße,52.53888888888889,13.618333333333334,Hellersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Louis-Lewin-Stra%C3%9Fe
Magdalenenstraße,52.5125,13.48638888888889,Lichtenberg,https://de.wikipedia.org/wiki/U-Bahnhof_Magdalenenstra%C3%9Fe
Märkisches Museum,52.511944444444445,13.408888888888889,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_M%C3%A4rkisches_Museum
Mehringdamm,52.49444444444445,13.38861111111111,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Mehringdamm
Mendelssohn-Bartholdy-Park,52.50388888888889,13.375,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Mendelssohn-Bartholdy-Park
Mierendorffplatz,52.526666666666664,13.305,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Mierendorffplatz
Möckernbrücke,52.49916666666667,13.383055555555556,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_M%C3%B6ckernbr%C3%BCcke
Mohrenstraße,52.51166666666666,13.384722222222223,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Mohrenstra%C3%9Fe
Moritzplatz,52.50361111111111,13.410833333333333,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Moritzplatz
Museumsinsel,52.5175,13.398333333333333,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Museumsinsel
Naturkundemuseum,52.53111111111111,13.3825,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Naturkundemuseum
Nauener Platz,52.55166666666667,13.3675,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Nauener_Platz
Neu-Westend,52.51555555555556,13.261111111111111,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Neu-Westend
Neukölln,52.46944444444444,13.442222222222222,Neukölln,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Neuk%C3%B6lln
Nollendorfplatz,52.49944444444444,13.35361111111111,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Nollendorfplatz
"52° 29′ 58″ N, 13° 21′ 13″ O",Schöneberg,https://de.wikipedia.orghttps://tools.wmflabs.org/geohack/geohack.php?pagename=Liste_der_Berliner_U-Bahnh%C3%B6fe&language=de&params=52.499444_N_13.353611_E_region:DE-BE_type:landmark&title=Nollendorfplatz+%28unten%29,,
Nürnberger Platz,52.498333333333335,13.334166666666667,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_N%C3%BCrnberger_Platz
Olympia-Stadion,52.51722222222222,13.25,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Olympia-Stadion
Onkel Toms Hütte,52.45027777777778,13.253333333333334,Zehlendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Onkel_Toms_H%C3%BCtte
Oranienburger Tor,52.525,13.3875,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Oranienburger_Tor
Oskar-Helene-Heim,52.45027777777778,13.269722222222223,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Oskar-Helene-Heim
Osloer Straße,52.55694444444445,13.373333333333333,Gesundbrunnen,https://de.wikipedia.org/wiki/U-Bahnhof_Osloer_Stra%C3%9Fe
Osthafen,52.50222222222222,13.446388888888889,Friedrichshain,https://de.wikipedia.org/wiki/U-Bahnhof_Osthafen
Otisstraße,52.57111111111111,13.302777777777777,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Otisstra%C3%9Fe
Pankow,52.56666666666667,13.411111111111111,Pankow,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Pankow
Pankstraße,52.55222222222222,13.381388888888889,Gesundbrunnen,https://de.wikipedia.org/wiki/U-Bahnhof_Pankstra%C3%9Fe
Paracelsus-Bad,52.57416666666667,13.349166666666667,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Paracelsus-Bad
Paradestraße,52.47805555555556,13.386111111111111,Tempelhof,https://de.wikipedia.org/wiki/U-Bahnhof_Paradestra%C3%9Fe
Parchimer Allee,52.444722222222225,13.449722222222222,Britz,https://de.wikipedia.org/wiki/U-Bahnhof_Parchimer_Allee
Paulsternstraße,52.53805555555556,13.247777777777777,Haselhorst,https://de.wikipedia.org/wiki/U-Bahnhof_Paulsternstra%C3%9Fe
Platz der Luftbrücke,52.48555555555556,13.385833333333334,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Platz_der_Luftbr%C3%BCcke
Podbielskiallee,52.464166666666664,13.295833333333333,Dahlem,https://de.wikipedia.org/wiki/U-Bahnhof_Podbielskiallee
Potsdamer Platz,52.50944444444445,13.375833333333333,Mitte,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Potsdamer_Platz
Prinzenstraße,52.498333333333335,13.405833333333334,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Prinzenstra%C3%9Fe
Rathaus Neukölln,52.481944444444444,13.433055555555555,Neukölln,https://de.wikipedia.org/wiki/U-Bahnhof_Rathaus_Neuk%C3%B6lln
Rathaus Reinickendorf,52.58833333333333,13.325833333333334,Wittenau,https://de.wikipedia.org/wiki/U-Bahnhof_Rathaus_Reinickendorf
Rathaus Schöneberg,52.48305555555555,13.341944444444444,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Rathaus_Sch%C3%B6neberg
Rathaus Spandau,52.53527777777778,13.199722222222222,Spandau,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Spandau
Rathaus Steglitz,52.45611111111111,13.32,Steglitz,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Rathaus_Steglitz
Rehberge,52.556666666666665,13.341111111111111,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Rehberge
Reinickendorfer Straße,52.54,13.370277777777778,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Reinickendorfer_Stra%C3%9Fe
Residenzstraße,52.57111111111111,13.360555555555555,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Residenzstra%C3%9Fe
Richard-Wagner-Platz,52.51583333333333,13.3075,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Richard-Wagner-Platz
Rohrdamm,52.53722222222222,13.2625,Siemensstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Rohrdamm
Rosa-Luxemburg-Platz,52.528333333333336,13.410277777777777,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Rosa-Luxemburg-Platz
Rosenthaler Platz,52.53,13.401111111111112,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Rosenthaler_Platz
Rotes Rathaus,52.51861111111111,13.408333333333333,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Rotes_Rathaus
Rüdesheimer Platz,52.473333333333336,13.314444444444444,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_R%C3%BCdesheimer_Platz
Rudow,52.416111111111114,13.495277777777778,Rudow,https://de.wikipedia.org/wiki/U-Bahnhof_Rudow
Ruhleben,52.525555555555556,13.241388888888888,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Ruhleben
Samariterstraße,52.514722222222225,13.464444444444444,Friedrichshain,https://de.wikipedia.org/wiki/U-Bahnhof_Samariterstra%C3%9Fe
Scharnweberstraße,52.566944444444445,13.312777777777777,Reinickendorf,https://de.wikipedia.org/wiki/U-Bahnhof_Scharnweberstra%C3%9Fe
Schillingstraße,52.52027777777778,13.421666666666667,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Schillingstra%C3%9Fe
Schlesisches Tor,52.50083333333333,13.441666666666666,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Schlesisches_Tor
Schloßstraße,52.46083333333333,13.324444444444444,Steglitz,https://de.wikipedia.org/wiki/U-Bahnhof_Schlo%C3%9Fstra%C3%9Fe
"52° 27′ 39″ N, 13° 19′ 28″ O",Steglitz,https://de.wikipedia.orghttps://tools.wmflabs.org/geohack/geohack.php?pagename=Liste_der_Berliner_U-Bahnh%C3%B6fe&language=de&params=52.460833_N_13.324444_E_region:DE-BE_type:landmark&title=Schlo%C3%9Fstra%C3%9Fe+%28unten%29,,
Schönhauser Allee,52.549166666666665,13.41611111111111,Prenzlauer Berg,https://de.wikipedia.org/wiki/Bahnhof_Berlin_Sch%C3%B6nhauser_Allee
Schönleinstraße,52.49305555555556,13.421944444444444,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_Sch%C3%B6nleinstra%C3%9Fe
Schwartzkopffstraße,52.53527777777778,13.377222222222223,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Schwartzkopffstra%C3%9Fe
Seestraße,52.55,13.352777777777778,Wedding,https://de.wikipedia.org/wiki/U-Bahnhof_Seestra%C3%9Fe
Senefelderplatz,52.5325,13.4125,Prenzlauer Berg,https://de.wikipedia.org/wiki/U-Bahnhof_Senefelderplatz
Siemensdamm,52.53666666666667,13.275555555555556,Siemensstadt,https://de.wikipedia.org/wiki/U-Bahnhof_Siemensdamm
Sophie-Charlotte-Platz,52.51083333333333,13.296666666666667,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Sophie-Charlotte-Platz
Spichernstraße,52.49666666666667,13.331111111111111,Wilmersdorf,https://de.wikipedia.org/wiki/U-Bahnhof_Spichernstra%C3%9Fe
Spittelmarkt,52.51111111111111,13.403611111111111,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Spittelmarkt
Stadtmitte,52.51222222222222,13.389444444444445,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Stadtmitte
Strausberger Platz,52.518055555555556,13.430833333333334,Friedrichshain,https://de.wikipedia.org/wiki/U-Bahnhof_Strausberger_Platz
Südstern,52.489444444444445,13.407777777777778,Kreuzberg,https://de.wikipedia.org/wiki/U-Bahnhof_S%C3%BCdstern
Tempelhof,52.47083333333333,13.385277777777778,Tempelhof,https://de.wikipedia.org/wiki/Bahnhof_Berlin-Tempelhof
Theodor-Heuss-Platz,52.50972222222222,13.273055555555555,Westend,https://de.wikipedia.org/wiki/U-Bahnhof_Theodor-Heuss-Platz
Tierpark,52.49638888888889,13.523333333333333,Friedrichsfelde,https://de.wikipedia.org/wiki/U-Bahnhof_Tierpark
Turmstraße,52.52583333333333,13.343333333333334,Moabit,https://de.wikipedia.org/wiki/U-Bahnhof_Turmstra%C3%9Fe
Uhlandstraße,52.5025,13.325555555555555,Charlottenburg,https://de.wikipedia.org/wiki/U-Bahnhof_Uhlandstra%C3%9Fe_(Berlin)
Ullsteinstraße,52.45388888888889,13.384444444444444,Tempelhof,https://de.wikipedia.org/wiki/U-Bahnhof_Ullsteinstra%C3%9Fe
Unter den Linden,52.51694444444445,13.38888888888889,Mitte,https://de.wikipedia.org/wiki/U-Bahnhof_Unter_den_Linden
Viktoria-Luise-Platz,52.49611111111111,13.342777777777778,Schöneberg,https://de.wikipedia.org/wiki/U-Bahnhof_Viktoria-Luise-Platz
